id,Sorte,Art,Reifezeit,Wiesen_Nr,Baum_Bild,Blueten,Frucht,Schnitt,Baum_Nr,Zustand
99,Apfel unbestimmt,Apfel,,1,,,,,,
14,"Rheinischer Bohnapfel
",Apfel,,1,,,,,,
11,Wiltshire,Apfel,,1,,,,,,
11,Wiltshire,Apfel,,1,,,,,,
11,Wiltshire,Apfel,,1,,,,,,
15,"Jakob Fischer
",Apfel,,1,,,,,,
12,"Brettacher
",Apfel,,1,,,,,,
13,"Boskoop
",Apfel,,1,,,,,,
22,"Wettringer Taubenapfel
",Apfel,,1,,,,,,
299,Zwetschge - unbestimmt,Zwetschge,,1,,,,,,
401,Walnuß,Nuss,,1,,,,,,
99,Apfel unbestimmt,Apfel,,2,,,,,,
102,"Neue Poiteau
",Birne,,2,,,,,,
101,"Gute Graue
",Birne,,2,,,,,,
299,Zwetschge - unbestimmt,Zwetschge,,2,,,,,,
15,Jakob Ficher,Apfel,,2,,,,,,
8,"Maunzenapfel
",Apfel,,2,,,,,,
299,Zwetschge - unbestimmt,Zwetschge,,2,,,,,,
299,Zwetschge - unbestimmt,Zwetschge,,2,,,,,,
23,"Florina
",Apfel,,2,,,,,,
8,"Maunzenapfel
",Apfel,,2,,,,,,
399,"Kirsche unbestimmt
",Kirsche,,2,,,,,,
399,"Kirsche unbestimmt
",Kirsche,,2,,,,,,
399,"Kirsche unbestimmt
",Kirsche,,2,,,,,,
14,"Rheinischer Bohnapfel
",Apfel,,2,,,,,,
4,"Danzinger Kantapfel
",Apfel,,2,,,,,,
199,Birne unbestimmt,Birne,,2,,,,,,
13,"Boskoop
",Apfel,,2,,,,,,
2,"Jacob Lebel
",Apfel,,2,,,,,,
2,"Jacob Lebel
",Apfel,,2,,,,,,
8,"Maunzenapfel
",Apfel,,2,,,,,,
13,"Boskoop
",Apfel,,4,,,,,,
13,"Boskoop
",Apfel,,4,,,,,,
17,"Roter Jonathan
",Apfel,,4,,,,,,
15,"Jakob Fischer
",Apfel,,4,,,,,,
14,"Rheinischer Bohnapfel
",Apfel,,4,/home/uws/privat/Streuobstwiesen/Bilder/Baum_Bilder/5_Feldkreuz.png,,,,,
399,"Kirsche – unbestimmt
",Kirsche,,4,/home/uws/privat/Streuobstwiesen/Bilder/Baum_Bilder/5_Feldkreuz.png,,,,,
399,"Kirsche – unbestimmt
",Kirsche,,5,,,,,,
99,"Apfel – unbestimmt
",Apfel,,5,,,,2020-03-14,,
99,"Apfel – unbestimmt
",Apfel,,5,,,,2020-03-14,,
99,"Apfel – unbestimmt
",Apfel,,5,,,,2020-03-14,,
15,"Jakob Fischer
",Apfel,,5,,,,2020-03-14,,
199,"Birne – unbestimmt
",Birne,,5,,,,2020-03-14,,
199,"Birne – unbestimmt
",Birne,,5,,,,,,
201,"Fränkische 
Hauszwetschge",Zwetschge,,5,,,,,,
201,"Fränkische 
Hauszwetschge",Zwetschge,,5,,,,,,
201,"Fränkische 
Hauszwetschge",Zwetschge,,5,,,,,,
201,"Fränkische 
Hauszwetschge",Zwetschge,,5,,,,,,
7,"Goldparmäne
",Apfel,,5,,,,2020-03-14,,
7,"Goldparmäne
",Apfel,,5,,,,2020-03-14,,
5,"Rheinischer 
Winterrambur",Apfel,,5,,,,2020-03-14,,
301,"Süßkirche
",Kirsche,,5,,,,2020-03-14,,
7,"Goldparmäne
",Apfel,,5,,,,2020-03-14,,
1,"Korbiniansapfel
",Apfel,,6,,,,2020-03-14,,
2,"Jacob Lebel
",Apfel,,6,,,,2020-03-14,,
3,"Prinz Albrecht
",Apfel,,6,,,,2020-03-14,,
6,"Kaiser Wilhelm
",Apfel,,6,,,,2020-03-14,,
5,"Rheinischer 
Winterrambur",Apfel,,6,,,,2020-03-14,,
4,"Danzinger Kantapfel
",Apfel,,6,,,,2020-03-14,,
9,"Topaz
",Apfel,,6,,,,2020-03-14,,
199,"Birne – unbestimmt
",Birne,,6,,,,2020-03-14,,
199,"Birne – unbestimmt
",Birne,,6,,,,2020-03-14,,
199,"Birne – unbestimmt
",Birne,,6,,,,2020-03-14,,
101,"Gute Graue
",Birne,,6,,,,2020-03-14,,
99,"Apfel – unbestimmt
",Apfel,,6,,,,2020-03-14,,
99,"Apfel – unbestimmt
",Apfel,,6,,,,2020-03-14,,
201,"Fränkische 
Hauszwetschge",Zwetschge,,6,,,,,,
202,"Früh Zwetschge
",Zwetschge,,7,,,,,,
202,"Früh Zwetschge
",Zwetschge,,7,,,,,,
